Client_ID,Risk_Profile,Target_Equity,Target_Debt,Target_Cash
C0909,Conservative,40,40,20
C0910,Conservative,40,40,20
C0911,Conservative,40,40,20
C0912,Moderate,60,30,10
C0913,Aggressive,80,15,5
C0914,Conservative,40,40,20
C0915,Aggressive,80,15,5
C0916,Conservative,40,40,20
C0917,Aggressive,80,15,5
C0918,Conservative,40,40,20
C0919,Moderate,60,30,10
C0920,Aggressive,80,15,5
C0921,Aggressive,80,15,5
C0922,Conservative,40,40,20
C0923,Moderate,60,30,10
C0924,Conservative,40,40,20
C0925,Conservative,40,40,20
C0926,Moderate,60,30,10
C0927,Conservative,40,40,20
C0928,Conservative,40,40,20
C0929,Moderate,60,30,10
C0930,Aggressive,80,15,5
C0931,Aggressive,80,15,5
C0932,Aggressive,80,15,5
C0933,Moderate,60,30,10
C0934,Aggressive,80,15,5
C0935,Moderate,60,30,10
C0936,Conservative,40,40,20
C0937,Moderate,60,30,10
C0938,Conservative,40,40,20
C0939,Conservative,40,40,20
C0940,Moderate,60,30,10
C0941,Conservative,40,40,20
C0942,Moderate,60,30,10
C0943,Conservative,40,40,20
C0944,Conservative,40,40,20
C0945,Moderate,60,30,10
C0946,Aggressive,80,15,5
C0947,Moderate,60,30,10
C0948,Conservative,40,40,20
C0949,Moderate,60,30,10
C0950,Conservative,40,40,20
C0951,Conservative,40,40,20
C0952,Conservative,40,40,20
C0953,Moderate,60,30,10
C0954,Aggressive,80,15,5
C0955,Conservative,40,40,20
C0956,Aggressive,80,15,5
C0957,Moderate,60,30,10
C0958,Moderate,60,30,10
C0959,Moderate,60,30,10
C0960,Aggressive,80,15,5
C0961,Conservative,40,40,20
C0962,Aggressive,80,15,5
C0963,Conservative,40,40,20
C0964,Aggressive,80,15,5
C0965,Aggressive,80,15,5
C0966,Moderate,60,30,10
C0967,Aggressive,80,15,5
C0968,Aggressive,80,15,5
C0969,Moderate,60,30,10
C0970,Moderate,60,30,10
C0971,Aggressive,80,15,5
C0972,Conservative,40,40,20
C0973,Conservative,40,40,20
C0974,Moderate,60,30,10
C0975,Conservative,40,40,20
C0976,Conservative,40,40,20
C0977,Moderate,60,30,10
C0978,Moderate,60,30,10
C0979,Aggressive,80,15,5
C0980,Aggressive,80,15,5
C0981,Conservative,40,40,20
C0982,Moderate,60,30,10
C0983,Conservative,40,40,20
C0984,Conservative,40,40,20
C0985,Moderate,60,30,10
C0986,Conservative,40,40,20
C0987,Moderate,60,30,10
C0988,Conservative,40,40,20
C0989,Moderate,60,30,10
C0990,Moderate,60,30,10
C0991,Conservative,40,40,20
C0992,Moderate,60,30,10
C0993,Aggressive,80,15,5
C0994,Aggressive,80,15,5
C0995,Aggressive,80,15,5
C0996,Moderate,60,30,10
C0997,Aggressive,80,15,5
C0998,Moderate,60,30,10
C0999,Conservative,40,40,20
C1000,Conservative,40,40,20
C1001,Conservative,40,40,20
C1002,Aggressive,80,15,5
C1003,Moderate,60,30,10
C1004,Moderate,60,30,10
C1005,Moderate,60,30,10
C1006,Moderate,60,30,10
C1007,Moderate,60,30,10
C1008,Aggressive,80,15,5
C1009,Moderate,60,30,10
C1010,Aggressive,80,15,5
C1011,Conservative,40,40,20
C1012,Aggressive,80,15,5
C1013,Aggressive,80,15,5
C1014,Moderate,60,30,10
C1015,Moderate,60,30,10
C1016,Conservative,40,40,20
C1017,Moderate,60,30,10
C1018,Conservative,40,40,20
C1019,Aggressive,80,15,5
C1020,Moderate,60,30,10
C1021,Conservative,40,40,20
C1022,Moderate,60,30,10
C1023,Moderate,60,30,10
C1024,Conservative,40,40,20
C1025,Aggressive,80,15,5
C1026,Moderate,60,30,10
C1027,Conservative,40,40,20
C1028,Moderate,60,30,10
C1029,Conservative,40,40,20
C1030,Conservative,40,40,20
C1031,Moderate,60,30,10
C1032,Conservative,40,40,20
C1033,Moderate,60,30,10
C1034,Aggressive,80,15,5
C1035,Moderate,60,30,10
C1036,Aggressive,80,15,5
C1037,Aggressive,80,15,5
C1038,Conservative,40,40,20
C1039,Conservative,40,40,20
C1040,Moderate,60,30,10
C1041,Aggressive,80,15,5
C1042,Moderate,60,30,10
C1043,Aggressive,80,15,5
C1044,Moderate,60,30,10
C1045,Moderate,60,30,10
C1046,Conservative,40,40,20
C1047,Moderate,60,30,10
C1048,Conservative,40,40,20
C1049,Aggressive,80,15,5
C1050,Conservative,40,40,20
C1051,Aggressive,80,15,5
C1052,Conservative,40,40,20
C1053,Aggressive,80,15,5
C1054,Aggressive,80,15,5
C1055,Conservative,40,40,20
C1056,Moderate,60,30,10
C1057,Aggressive,80,15,5
C1058,Aggressive,80,15,5
C1059,Conservative,40,40,20
C1060,Aggressive,80,15,5
C1061,Moderate,60,30,10
C1062,Conservative,40,40,20
C1063,Aggressive,80,15,5
C1064,Aggressive,80,15,5
C1065,Moderate,60,30,10
C1066,Conservative,40,40,20
C1067,Aggressive,80,15,5
C1068,Aggressive,80,15,5
C1069,Moderate,60,30,10
C1070,Aggressive,80,15,5
C1071,Conservative,40,40,20
C1072,Aggressive,80,15,5
C1073,Moderate,60,30,10
C1074,Conservative,40,40,20
C1075,Conservative,40,40,20
C1076,Moderate,60,30,10
C1077,Aggressive,80,15,5
C1078,Aggressive,80,15,5
C1079,Aggressive,80,15,5
C1080,Aggressive,80,15,5
C1081,Aggressive,80,15,5
C1082,Moderate,60,30,10
C1083,Conservative,40,40,20
C1084,Moderate,60,30,10
C1085,Conservative,40,40,20
C1086,Aggressive,80,15,5
C1087,Moderate,60,30,10
C1088,Moderate,60,30,10
C1089,Conservative,40,40,20
C1090,Conservative,40,40,20
C1091,Conservative,40,40,20
C1092,Conservative,40,40,20
C1093,Conservative,40,40,20
C1094,Conservative,40,40,20
C1095,Aggressive,80,15,5
C1096,Conservative,40,40,20
C1097,Moderate,60,30,10
C1098,Aggressive,80,15,5
C1099,Conservative,40,40,20
C1100,Moderate,60,30,10
C1101,Conservative,40,40,20
C1102,Aggressive,80,15,5
C1103,Conservative,40,40,20
C1104,Moderate,60,30,10
C1105,Aggressive,80,15,5
C1106,Moderate,60,30,10
C1107,Moderate,60,30,10
C1108,Moderate,60,30,10
C1109,Conservative,40,40,20
C1110,Moderate,60,30,10
C1111,Moderate,60,30,10
C1112,Aggressive,80,15,5
C1113,Moderate,60,30,10
C1114,Conservative,40,40,20
C1115,Aggressive,80,15,5
C1116,Conservative,40,40,20
C1117,Aggressive,80,15,5
C1118,Moderate,60,30,10
C1119,Conservative,40,40,20
C1120,Moderate,60,30,10
C1121,Conservative,40,40,20
C1122,Aggressive,80,15,5
C1123,Conservative,40,40,20
C1124,Moderate,60,30,10
C1125,Conservative,40,40,20
C1126,Aggressive,80,15,5
C1127,Aggressive,80,15,5
C1128,Aggressive,80,15,5
C1129,Conservative,40,40,20
C1130,Moderate,60,30,10
C1131,Moderate,60,30,10
C1132,Aggressive,80,15,5
C1133,Conservative,40,40,20
C1134,Aggressive,80,15,5
C1135,Conservative,40,40,20
C1136,Conservative,40,40,20
C1137,Conservative,40,40,20
C1138,Conservative,40,40,20
C1139,Aggressive,80,15,5
C1140,Moderate,60,30,10
C1141,Aggressive,80,15,5
C1142,Aggressive,80,15,5
C1143,Conservative,40,40,20
C1144,Moderate,60,30,10
C1145,Moderate,60,30,10
C1146,Conservative,40,40,20
C1147,Moderate,60,30,10
C1148,Moderate,60,30,10
C1149,Conservative,40,40,20
C1150,Moderate,60,30,10
C1151,Conservative,40,40,20
C1152,Aggressive,80,15,5
C1153,Conservative,40,40,20
C1154,Moderate,60,30,10
C1155,Moderate,60,30,10
C1156,Moderate,60,30,10
C1157,Conservative,40,40,20
C1158,Conservative,40,40,20
C1159,Conservative,40,40,20
C1160,Aggressive,80,15,5
C1161,Aggressive,80,15,5
C1162,Moderate,60,30,10
C1163,Aggressive,80,15,5
C1164,Moderate,60,30,10
C1165,Moderate,60,30,10
C1166,Conservative,40,40,20
C1167,Aggressive,80,15,5
C1168,Aggressive,80,15,5
C1169,Conservative,40,40,20
C1170,Conservative,40,40,20
C1171,Moderate,60,30,10
C1172,Conservative,40,40,20
C1173,Aggressive,80,15,5
C1174,Moderate,60,30,10
C1175,Aggressive,80,15,5
C1176,Conservative,40,40,20
C1177,Conservative,40,40,20
C1178,Moderate,60,30,10
C1179,Moderate,60,30,10
C1180,Conservative,40,40,20
C1181,Moderate,60,30,10
C1182,Aggressive,80,15,5
C1183,Conservative,40,40,20
C1184,Aggressive,80,15,5
C1185,Conservative,40,40,20
C1186,Aggressive,80,15,5
C1187,Moderate,60,30,10
C1188,Aggressive,80,15,5
C1189,Aggressive,80,15,5
C1190,Moderate,60,30,10
C1191,Conservative,40,40,20
C1192,Moderate,60,30,10
C1193,Conservative,40,40,20
C1194,Moderate,60,30,10
C1195,Aggressive,80,15,5
C1196,Conservative,40,40,20
C1197,Conservative,40,40,20
C1198,Aggressive,80,15,5
C1199,Aggressive,80,15,5
C1200,Conservative,40,40,20
C1201,Moderate,60,30,10
C1202,Moderate,60,30,10
C1203,Moderate,60,30,10
C1204,Aggressive,80,15,5
C1205,Conservative,40,40,20
C1206,Aggressive,80,15,5
C1207,Aggressive,80,15,5
C1208,Aggressive,80,15,5
C1209,Conservative,40,40,20
C1210,Aggressive,80,15,5
C1211,Conservative,40,40,20
C1212,Conservative,40,40,20
C1213,Conservative,40,40,20
C1214,Aggressive,80,15,5
C1215,Conservative,40,40,20
C1216,Moderate,60,30,10
C1217,Moderate,60,30,10
C1218,Aggressive,80,15,5
C1219,Aggressive,80,15,5
C1220,Aggressive,80,15,5
C1221,Aggressive,80,15,5
C1222,Conservative,40,40,20
C1223,Moderate,60,30,10
C1224,Moderate,60,30,10
C1225,Moderate,60,30,10
C1226,Aggressive,80,15,5
C1227,Conservative,40,40,20
C1228,Conservative,40,40,20
C1229,Moderate,60,30,10
C1230,Conservative,40,40,20
C1231,Aggressive,80,15,5
C1232,Aggressive,80,15,5
C1233,Conservative,40,40,20
C1234,Conservative,40,40,20
C1235,Conservative,40,40,20
C1236,Moderate,60,30,10
C1237,Conservative,40,40,20
C1238,Conservative,40,40,20
C1239,Moderate,60,30,10
C1240,Moderate,60,30,10
C1241,Conservative,40,40,20
C1242,Conservative,40,40,20
C1243,Aggressive,80,15,5
C1244,Conservative,40,40,20
C1245,Conservative,40,40,20
C1246,Moderate,60,30,10
C1247,Aggressive,80,15,5
C1248,Conservative,40,40,20
C1249,Aggressive,80,15,5
C1250,Conservative,40,40,20
C1251,Moderate,60,30,10
C1252,Moderate,60,30,10
C1253,Moderate,60,30,10
C1254,Conservative,40,40,20
C1255,Moderate,60,30,10
C1256,Conservative,40,40,20
C1257,Conservative,40,40,20
C1258,Moderate,60,30,10
C1259,Aggressive,80,15,5
C1260,Aggressive,80,15,5
C1261,Conservative,40,40,20
C1262,Conservative,40,40,20
C1263,Moderate,60,30,10
C1264,Moderate,60,30,10
C1265,Aggressive,80,15,5
C1266,Conservative,40,40,20
C1267,Conservative,40,40,20
C1268,Moderate,60,30,10
C1269,Moderate,60,30,10
C1270,Conservative,40,40,20
C1271,Conservative,40,40,20
C1272,Aggressive,80,15,5
C1273,Moderate,60,30,10
C1274,Conservative,40,40,20
C1275,Conservative,40,40,20
C1276,Conservative,40,40,20
C1277,Conservative,40,40,20
C1278,Moderate,60,30,10
C1279,Conservative,40,40,20
C1280,Moderate,60,30,10
C1281,Aggressive,80,15,5
C1282,Aggressive,80,15,5
C1283,Moderate,60,30,10
C1284,Conservative,40,40,20
C1285,Moderate,60,30,10
C1286,Moderate,60,30,10
C1287,Moderate,60,30,10
C1288,Aggressive,80,15,5
C1289,Moderate,60,30,10
C1290,Aggressive,80,15,5
C1291,Conservative,40,40,20
C1292,Moderate,60,30,10
C1293,Moderate,60,30,10
C1294,Conservative,40,40,20
C1295,Aggressive,80,15,5
C1296,Moderate,60,30,10
C1297,Moderate,60,30,10
C1298,Aggressive,80,15,5
C1299,Aggressive,80,15,5
C1300,Aggressive,80,15,5
C1301,Aggressive,80,15,5
C1302,Aggressive,80,15,5
C1303,Conservative,40,40,20
C1304,Conservative,40,40,20
C1305,Conservative,40,40,20
C1306,Conservative,40,40,20
C1307,Aggressive,80,15,5
C1308,Conservative,40,40,20
C1309,Moderate,60,30,10
C1310,Aggressive,80,15,5
C1311,Aggressive,80,15,5
C1312,Conservative,40,40,20
C1313,Moderate,60,30,10
C1314,Conservative,40,40,20
C1315,Moderate,60,30,10
C1316,Conservative,40,40,20
C1317,Moderate,60,30,10
C1318,Aggressive,80,15,5
C1319,Aggressive,80,15,5
C1320,Moderate,60,30,10
C1321,Conservative,40,40,20
C1322,Conservative,40,40,20
C1323,Conservative,40,40,20
C1324,Moderate,60,30,10
C1325,Moderate,60,30,10
C1326,Moderate,60,30,10
C1327,Aggressive,80,15,5
C1328,Conservative,40,40,20
C1329,Moderate,60,30,10
C1330,Moderate,60,30,10
C1331,Moderate,60,30,10
C1332,Aggressive,80,15,5
C1333,Conservative,40,40,20
C1334,Conservative,40,40,20
C1335,Aggressive,80,15,5
C1336,Moderate,60,30,10
C1337,Aggressive,80,15,5
C1338,Aggressive,80,15,5
C1339,Conservative,40,40,20
C1340,Moderate,60,30,10
C1341,Moderate,60,30,10
C1342,Conservative,40,40,20
C1343,Moderate,60,30,10
C1344,Moderate,60,30,10
C1345,Conservative,40,40,20
C1346,Aggressive,80,15,5
C1347,Moderate,60,30,10
C1348,Aggressive,80,15,5
C1349,Moderate,60,30,10
C1350,Moderate,60,30,10
C1351,Conservative,40,40,20
C1352,Aggressive,80,15,5
C1353,Moderate,60,30,10
C1354,Moderate,60,30,10
C1355,Conservative,40,40,20
C1356,Moderate,60,30,10
C1357,Conservative,40,40,20
C1358,Conservative,40,40,20
C1359,Conservative,40,40,20
C1360,Conservative,40,40,20
C1361,Moderate,60,30,10
C1362,Conservative,40,40,20
C1363,Conservative,40,40,20
C1364,Aggressive,80,15,5
C1365,Moderate,60,30,10
C1366,Moderate,60,30,10
C1367,Aggressive,80,15,5
C1368,Conservative,40,40,20
C1369,Moderate,60,30,10
C1370,Conservative,40,40,20
C1371,Conservative,40,40,20
C1372,Moderate,60,30,10
C1373,Conservative,40,40,20
C1374,Moderate,60,30,10
C1375,Aggressive,80,15,5
C1376,Moderate,60,30,10
C1377,Moderate,60,30,10
C1378,Aggressive,80,15,5
C1379,Moderate,60,30,10
C1380,Aggressive,80,15,5
C1381,Conservative,40,40,20
C1382,Aggressive,80,15,5
C1383,Moderate,60,30,10
C1384,Moderate,60,30,10
C1385,Conservative,40,40,20
C1386,Moderate,60,30,10
C1387,Aggressive,80,15,5
C1388,Conservative,40,40,20
C1389,Aggressive,80,15,5
C1390,Moderate,60,30,10
C1391,Moderate,60,30,10
C1392,Conservative,40,40,20
C1393,Moderate,60,30,10
C1394,Moderate,60,30,10
C1395,Conservative,40,40,20
C1396,Aggressive,80,15,5
C1397,Aggressive,80,15,5
C1398,Aggressive,80,15,5
C1399,Moderate,60,30,10
C1400,Moderate,60,30,10
C1401,Conservative,40,40,20
C1402,Aggressive,80,15,5
C1403,Aggressive,80,15,5
C1404,Conservative,40,40,20
C1405,Conservative,40,40,20
C1406,Conservative,40,40,20
C1407,Conservative,40,40,20
C1408,Aggressive,80,15,5
C1409,Conservative,40,40,20
C1410,Moderate,60,30,10
C1411,Conservative,40,40,20
C1412,Conservative,40,40,20
C1413,Moderate,60,30,10
C1414,Conservative,40,40,20
C1415,Conservative,40,40,20
C1416,Conservative,40,40,20
C1417,Conservative,40,40,20
C1418,Aggressive,80,15,5
C1419,Moderate,60,30,10
C1420,Conservative,40,40,20
C1421,Aggressive,80,15,5
C1422,Conservative,40,40,20
C1423,Aggressive,80,15,5
C1424,Moderate,60,30,10
C1425,Aggressive,80,15,5
C1426,Conservative,40,40,20
C1427,Conservative,40,40,20
C1428,Moderate,60,30,10
C1429,Aggressive,80,15,5
C1430,Aggressive,80,15,5
C1431,Moderate,60,30,10
C1432,Conservative,40,40,20
C1433,Aggressive,80,15,5
C1434,Aggressive,80,15,5
C1435,Aggressive,80,15,5
C1436,Conservative,40,40,20
C1437,Aggressive,80,15,5
C1438,Aggressive,80,15,5
C1439,Moderate,60,30,10
C1440,Conservative,40,40,20
C1441,Moderate,60,30,10
C1442,Moderate,60,30,10
C1443,Moderate,60,30,10
C1444,Conservative,40,40,20
C1445,Aggressive,80,15,5
C1446,Moderate,60,30,10
C1447,Conservative,40,40,20
C1448,Aggressive,80,15,5
C1449,Conservative,40,40,20
C1450,Conservative,40,40,20
C1451,Conservative,40,40,20
C1452,Aggressive,80,15,5
C1453,Aggressive,80,15,5
C1454,Aggressive,80,15,5
C1455,Moderate,60,30,10
C1456,Aggressive,80,15,5
C1457,Conservative,40,40,20
C1458,Moderate,60,30,10
C1459,Conservative,40,40,20
C1460,Conservative,40,40,20
C1461,Conservative,40,40,20
C1462,Conservative,40,40,20
C1463,Aggressive,80,15,5
C1464,Aggressive,80,15,5
C1465,Moderate,60,30,10
C1466,Aggressive,80,15,5
C1467,Moderate,60,30,10
C1468,Moderate,60,30,10
C1469,Aggressive,80,15,5
C1470,Conservative,40,40,20
C1471,Moderate,60,30,10
C1472,Conservative,40,40,20
C1473,Conservative,40,40,20
C1474,Conservative,40,40,20
C1475,Aggressive,80,15,5
C1476,Conservative,40,40,20
C1477,Moderate,60,30,10
C1478,Aggressive,80,15,5
C1479,Aggressive,80,15,5
C1480,Conservative,40,40,20
C1481,Conservative,40,40,20
C1482,Conservative,40,40,20
C1483,Moderate,60,30,10
C1484,Moderate,60,30,10
C1485,Moderate,60,30,10
C1486,Aggressive,80,15,5
C1487,Moderate,60,30,10
C1488,Conservative,40,40,20
C1489,Aggressive,80,15,5
C1490,Conservative,40,40,20
C1491,Aggressive,80,15,5
C1492,Aggressive,80,15,5
C1493,Conservative,40,40,20
C1494,Moderate,60,30,10
C1495,Moderate,60,30,10
C1496,Aggressive,80,15,5
C1497,Moderate,60,30,10
C1498,Aggressive,80,15,5
C1499,Conservative,40,40,20
C1500,Conservative,40,40,20
C1501,Aggressive,80,15,5
C1502,Conservative,40,40,20
C1503,Moderate,60,30,10
C1504,Conservative,40,40,20
C1505,Conservative,40,40,20
C1506,Aggressive,80,15,5
C1507,Aggressive,80,15,5
C1508,Conservative,40,40,20
C1509,Conservative,40,40,20
C1510,Conservative,40,40,20
C1511,Aggressive,80,15,5
C1512,Aggressive,80,15,5
C1513,Conservative,40,40,20
C1514,Conservative,40,40,20
C1515,Conservative,40,40,20
C1516,Conservative,40,40,20
C1517,Aggressive,80,15,5
C1518,Moderate,60,30,10
C1519,Conservative,40,40,20
C1520,Moderate,60,30,10
C1521,Aggressive,80,15,5
C1522,Aggressive,80,15,5
C1523,Moderate,60,30,10
C1524,Moderate,60,30,10
C1525,Moderate,60,30,10
C1526,Moderate,60,30,10
C1527,Moderate,60,30,10
C1528,Aggressive,80,15,5
C1529,Moderate,60,30,10
C1530,Aggressive,80,15,5
C1531,Moderate,60,30,10
C1532,Aggressive,80,15,5
C1533,Conservative,40,40,20
C1534,Conservative,40,40,20
C1535,Moderate,60,30,10
C1536,Conservative,40,40,20
C1537,Conservative,40,40,20
C1538,Moderate,60,30,10
C1539,Aggressive,80,15,5
C1540,Conservative,40,40,20
C1541,Moderate,60,30,10
C1542,Moderate,60,30,10
C1543,Moderate,60,30,10
C1544,Aggressive,80,15,5
C1545,Moderate,60,30,10
C1546,Conservative,40,40,20
C1547,Conservative,40,40,20
C1548,Conservative,40,40,20
C1549,Moderate,60,30,10
C1550,Moderate,60,30,10
C1551,Moderate,60,30,10
C1552,Moderate,60,30,10
C1553,Aggressive,80,15,5
C1554,Conservative,40,40,20
C1555,Moderate,60,30,10
C1556,Conservative,40,40,20
C1557,Conservative,40,40,20
C1558,Conservative,40,40,20
C1559,Moderate,60,30,10
C1560,Aggressive,80,15,5
C1561,Aggressive,80,15,5
C1562,Conservative,40,40,20
C1563,Aggressive,80,15,5
C1564,Moderate,60,30,10
C1565,Moderate,60,30,10
C1566,Moderate,60,30,10
C1567,Aggressive,80,15,5
C1568,Conservative,40,40,20
C1569,Conservative,40,40,20
C1570,Conservative,40,40,20
C1571,Aggressive,80,15,5
C1572,Moderate,60,30,10
C1573,Conservative,40,40,20
C1574,Conservative,40,40,20
C1575,Moderate,60,30,10
C1576,Moderate,60,30,10
C1577,Moderate,60,30,10
C1578,Moderate,60,30,10
C1579,Conservative,40,40,20
C1580,Conservative,40,40,20
C1581,Aggressive,80,15,5
C1582,Conservative,40,40,20
C1583,Conservative,40,40,20
C1584,Aggressive,80,15,5
C1585,Moderate,60,30,10
C1586,Moderate,60,30,10
C1587,Conservative,40,40,20
C1588,Moderate,60,30,10
C1589,Aggressive,80,15,5
C1590,Aggressive,80,15,5
C1591,Moderate,60,30,10
C1592,Moderate,60,30,10
C1593,Aggressive,80,15,5
C1594,Moderate,60,30,10
C1595,Moderate,60,30,10
C1596,Aggressive,80,15,5
C1597,Aggressive,80,15,5
C1598,Moderate,60,30,10
C1599,Aggressive,80,15,5
C1600,Aggressive,80,15,5
C1601,Conservative,40,40,20
C1602,Conservative,40,40,20
C1603,Conservative,40,40,20
C1604,Conservative,40,40,20
C1605,Moderate,60,30,10
C1606,Aggressive,80,15,5
C1607,Conservative,40,40,20
C1608,Moderate,60,30,10
C1609,Conservative,40,40,20
C1610,Moderate,60,30,10
C1611,Conservative,40,40,20
C1612,Aggressive,80,15,5
C1613,Aggressive,80,15,5
C1614,Aggressive,80,15,5
C1615,Moderate,60,30,10
C1616,Aggressive,80,15,5
C1617,Moderate,60,30,10
C1618,Moderate,60,30,10
C1619,Aggressive,80,15,5
C1620,Conservative,40,40,20
C1621,Conservative,40,40,20
C1622,Conservative,40,40,20
C1623,Moderate,60,30,10
C1624,Conservative,40,40,20
C1625,Conservative,40,40,20
C1626,Conservative,40,40,20
C1627,Moderate,60,30,10
C1628,Aggressive,80,15,5
C1629,Moderate,60,30,10
C1630,Moderate,60,30,10
C1631,Conservative,40,40,20
C1632,Aggressive,80,15,5
C1633,Aggressive,80,15,5
C1634,Aggressive,80,15,5
C1635,Moderate,60,30,10
C1636,Moderate,60,30,10
C1637,Aggressive,80,15,5
C1638,Conservative,40,40,20
C1639,Aggressive,80,15,5
C1640,Aggressive,80,15,5
C1641,Conservative,40,40,20
C1642,Moderate,60,30,10
C1643,Moderate,60,30,10
C1644,Aggressive,80,15,5
C1645,Conservative,40,40,20
C1646,Conservative,40,40,20
C1647,Aggressive,80,15,5
C1648,Conservative,40,40,20
C1649,Conservative,40,40,20
C1650,Conservative,40,40,20
C1651,Conservative,40,40,20
C1652,Conservative,40,40,20
C1653,Conservative,40,40,20
C1654,Conservative,40,40,20
C1655,Moderate,60,30,10
C1656,Moderate,60,30,10
C1657,Conservative,40,40,20
C1658,Moderate,60,30,10
C1659,Moderate,60,30,10
C1660,Conservative,40,40,20
C1661,Aggressive,80,15,5
C1662,Moderate,60,30,10
C1663,Moderate,60,30,10
C1664,Moderate,60,30,10
C1665,Moderate,60,30,10
C1666,Aggressive,80,15,5
C1667,Moderate,60,30,10
C1668,Moderate,60,30,10
C1669,Conservative,40,40,20
C1670,Moderate,60,30,10
C1671,Aggressive,80,15,5
C1672,Moderate,60,30,10
C1673,Conservative,40,40,20
C1674,Aggressive,80,15,5
C1675,Moderate,60,30,10
C1676,Conservative,40,40,20
C1677,Aggressive,80,15,5
C1678,Conservative,40,40,20
C1679,Conservative,40,40,20
C1680,Moderate,60,30,10
C1681,Moderate,60,30,10
C1682,Aggressive,80,15,5
C1683,Moderate,60,30,10
C1684,Aggressive,80,15,5
C1685,Conservative,40,40,20
C1686,Moderate,60,30,10
C1687,Conservative,40,40,20
C1688,Aggressive,80,15,5
C1689,Aggressive,80,15,5
C1690,Aggressive,80,15,5
C1691,Aggressive,80,15,5
C1692,Conservative,40,40,20
C1693,Moderate,60,30,10
C1694,Conservative,40,40,20
C1695,Aggressive,80,15,5
C1696,Moderate,60,30,10
C1697,Conservative,40,40,20
C1698,Conservative,40,40,20
C1699,Aggressive,80,15,5
C1700,Aggressive,80,15,5
C1701,Aggressive,80,15,5
C1702,Conservative,40,40,20
C1703,Conservative,40,40,20
C1704,Aggressive,80,15,5
C1705,Conservative,40,40,20
C1706,Aggressive,80,15,5
C1707,Moderate,60,30,10
C1708,Aggressive,80,15,5
C1709,Conservative,40,40,20
C1710,Conservative,40,40,20
C1711,Conservative,40,40,20
C1712,Conservative,40,40,20
C1713,Moderate,60,30,10
C1714,Aggressive,80,15,5
C1715,Aggressive,80,15,5
C1716,Aggressive,80,15,5
C1717,Moderate,60,30,10
C1718,Moderate,60,30,10
C1719,Conservative,40,40,20
C1720,Conservative,40,40,20
C1721,Conservative,40,40,20
C1722,Moderate,60,30,10
C1723,Conservative,40,40,20
C1724,Conservative,40,40,20
C1725,Conservative,40,40,20
C1726,Aggressive,80,15,5
C1727,Moderate,60,30,10
C1728,Moderate,60,30,10
C1729,Aggressive,80,15,5
C1730,Moderate,60,30,10
C1731,Aggressive,80,15,5
C1732,Conservative,40,40,20
C1733,Conservative,40,40,20
C1734,Conservative,40,40,20
C1735,Moderate,60,30,10
C1736,Aggressive,80,15,5
C1737,Moderate,60,30,10
C1738,Conservative,40,40,20
C1739,Aggressive,80,15,5
C1740,Aggressive,80,15,5
C1741,Moderate,60,30,10
C1742,Aggressive,80,15,5
C1743,Conservative,40,40,20
C1744,Moderate,60,30,10
C1745,Moderate,60,30,10
C1746,Moderate,60,30,10
C1747,Moderate,60,30,10
C1748,Aggressive,80,15,5
C1749,Aggressive,80,15,5
C1750,Conservative,40,40,20
C1751,Aggressive,80,15,5
C1752,Conservative,40,40,20
C1753,Conservative,40,40,20
C1754,Moderate,60,30,10
C1755,Aggressive,80,15,5
C1756,Conservative,40,40,20
C1757,Moderate,60,30,10
C1758,Moderate,60,30,10
C1759,Conservative,40,40,20
C1760,Moderate,60,30,10
C1761,Conservative,40,40,20
C1762,Conservative,40,40,20
C1763,Moderate,60,30,10
C1764,Conservative,40,40,20
C1765,Aggressive,80,15,5
C1766,Moderate,60,30,10
C1767,Aggressive,80,15,5
C1768,Conservative,40,40,20
C1769,Conservative,40,40,20
C1770,Aggressive,80,15,5
C1771,Moderate,60,30,10
C1772,Aggressive,80,15,5
C1773,Conservative,40,40,20
C1774,Conservative,40,40,20
C1775,Conservative,40,40,20
C1776,Conservative,40,40,20
C1777,Moderate,60,30,10
C1778,Aggressive,80,15,5
C1779,Aggressive,80,15,5
C1780,Aggressive,80,15,5
C1781,Aggressive,80,15,5
C1782,Aggressive,80,15,5
C1783,Conservative,40,40,20
C1784,Conservative,40,40,20
C1785,Aggressive,80,15,5
C1786,Moderate,60,30,10
C1787,Conservative,40,40,20
C1788,Moderate,60,30,10
C1789,Moderate,60,30,10
C1790,Moderate,60,30,10
C1791,Conservative,40,40,20
C1792,Moderate,60,30,10
C1793,Aggressive,80,15,5
C1794,Aggressive,80,15,5
C1795,Aggressive,80,15,5
C1796,Aggressive,80,15,5
C1797,Aggressive,80,15,5
C1798,Aggressive,80,15,5
C1799,Aggressive,80,15,5
C1800,Moderate,60,30,10
C1801,Aggressive,80,15,5
C1802,Moderate,60,30,10
C1803,Aggressive,80,15,5
C1804,Aggressive,80,15,5
C1805,Moderate,60,30,10
C1806,Moderate,60,30,10
C1807,Moderate,60,30,10
C1808,Conservative,40,40,20
C1809,Conservative,40,40,20
C1810,Conservative,40,40,20
C1811,Aggressive,80,15,5
C1812,Conservative,40,40,20
C1813,Aggressive,80,15,5
C1814,Moderate,60,30,10
C1815,Moderate,60,30,10
C1816,Aggressive,80,15,5
C1817,Moderate,60,30,10
C1818,Moderate,60,30,10
C1819,Moderate,60,30,10
C1820,Aggressive,80,15,5
